size, time
3072, 629057
3072, 251820
3072, 233071
3072, 192551
3072, 206665
3072, 179113
3072, 278488
3072, 249998
3072, 288487
3072, 241404
3072, 272498
3072, 254946
3072, 178905
3072, 191352
3072, 186561
3072, 188279
3072, 172239
3072, 186977
3072, 193540
3072, 174321
3072, 187134
3072, 189009
3072, 172968
3072, 189686
3072, 177967
3072, 179999
3072, 190519
3072, 176093
3072, 185727
3072, 183853
3072, 179166
3072, 182968
3072, 183853
3072, 180571
3072, 279841
3072, 281561
3072, 305675
3072, 181092
3072, 190884
3072, 182551
3072, 182134
3072, 186093
3072, 181978
3072, 187290
3072, 180884
3072, 185363
3072, 181405
3072, 315102
3072, 306144
3072, 195102
12288, 2087171
12288, 511193
12288, 578172
12288, 455933
12288, 540309
12288, 506454
12288, 420518
12288, 418225
12288, 415153
12288, 415309
12288, 427549
12288, 417184
12288, 458121
12288, 446246
12288, 428382
12288, 429684
12288, 425517
12288, 445413
12288, 432288
12288, 432914
12288, 434684
12288, 426716
12288, 426507
12288, 789056
12288, 753276
12288, 745515
12288, 877910
12288, 501662
12288, 450413
12288, 437080
12288, 565568
12288, 429059
12288, 422705
12288, 558225
12288, 423903
12288, 435830
12288, 432965
12288, 775255
12288, 939681
12288, 538590
12288, 425778
12288, 443017
12288, 543746
12288, 433382
12288, 429059
12288, 547443
12288, 433694
12288, 430257
12288, 555829
12288, 427080
27648, 3131435
27648, 1058221
27648, 1044523
27648, 830046
27648, 831869
27648, 781244
27648, 806244
27648, 781765
27648, 1182232
27648, 797390
27648, 841504
27648, 848119
27648, 810984
27648, 851713
27648, 836765
27648, 914056
27648, 861609
27648, 835879
27648, 908431
27648, 841504
27648, 838848
27648, 928795
27648, 865515
27648, 833224
27648, 851713
27648, 809473
27648, 845098
27648, 833484
27648, 829213
27648, 831712
27648, 838484
27648, 818692
27648, 834421
27648, 834317
27648, 1713217
27648, 1523530
27648, 820671
27648, 821297
27648, 798953
27648, 821870
27648, 799265
27648, 819005
27648, 809682
27648, 801244
27648, 793224
27648, 812755
27648, 1450198
27648, 1488792
27648, 1428532
27648, 1431657
49152, 4655179
49152, 1576448
49152, 2200455
49152, 1654573
49152, 1837436
49152, 1538584
49152, 1381241
49152, 1963529
49152, 1395720
49152, 1373168
49152, 1780822
49152, 1374888
49152, 1337075
49152, 1388793
49152, 2004206
49152, 2336027
49152, 1444209
49152, 1374574
49152, 1350773
49152, 1543949
49152, 1414574
49152, 1434157
49152, 1432126
49152, 1584157
49152, 1494834
49152, 1436136
49152, 1379783
49152, 1571032
49152, 1411814
49152, 1344210
49152, 1372804
49152, 1633792
49152, 1483532
49152, 1368429
49152, 1458168
49152, 2796181
49152, 2549255
49152, 2457693
49152, 1339158
49152, 1467491
49152, 1536761
49152, 1387700
49152, 1381085
49152, 1626656
49152, 1452282
49152, 1385356
49152, 1476085
49152, 1557438
49152, 2565557
49152, 2462901
76800, 5520588
76800, 3244718
76800, 2646753
76800, 2425140
76800, 2752274
76800, 2307850
76800, 2083944
76800, 2123319
76800, 2316704
76800, 2312537
76800, 2314673
76800, 2245193
76800, 2245089
76800, 2058371
76800, 2765346
76800, 2198215
76800, 2247694
76800, 2170455
76800, 2364984
76800, 2171860
76800, 2214830
76800, 2113059
76800, 2388578
76800, 2761284
76800, 2123372
76800, 2279516
76800, 2439255
76800, 2185402
76800, 2431338
76800, 2194048
76800, 2431443
76800, 2428317
76800, 2269204
76800, 2040195
76800, 2349984
76800, 3926484
76800, 4265024
76800, 4073671
76800, 2344099
76800, 2198163
76800, 2346547
76800, 2064986
76800, 2326287
76800, 2094310
76800, 2167590
76800, 2195923
76800, 2540921
76800, 2095351
76800, 4035703
76800, 4148410
110592, 7866717
110592, 5791575
110592, 3201280
110592, 2793783
110592, 2457379
110592, 2793002
110592, 2595711
110592, 2756909
110592, 2861334
110592, 3454091
110592, 3575653
110592, 2999459
110592, 2798992
110592, 3260707
110592, 2891959
110592, 2826283
110592, 2662378
110592, 2827637
110592, 2903418
110592, 3008157
110592, 2586649
110592, 2524358
110592, 4909446
110592, 4414345
110592, 2813523
110592, 3284196
110592, 2336442
110592, 5161736
110592, 2502535
110592, 2664045
110592, 2500191
110592, 2414411
110592, 2569358
110592, 2374775
110592, 2695659
110592, 4574604
110592, 4397522
110592, 2617899
110592, 2346338
110592, 2658472
110592, 2505451
110592, 2355349
110592, 2578680
110592, 2414306
110592, 2613523
110592, 2581388
110592, 2433786
110592, 2519306
110592, 4373199
110592, 5033299
150528, 9692641
150528, 5403608
150528, 4837102
150528, 3864452
150528, 4338980
150528, 4250126
150528, 4177367
150528, 3358414
150528, 4152002
150528, 4084972
150528, 3829608
150528, 4165127
150528, 4342782
150528, 3375341
150528, 3688672
150528, 4460854
150528, 4121794
150528, 3624141
150528, 4007784
150528, 3648047
150528, 3474611
150528, 3320654
150528, 3286279
150528, 3998670
150528, 3450705
150528, 4157106
150528, 4186273
150528, 3801327
150528, 3578256
150528, 3301643
150528, 3390862
150528, 3717891
150528, 3634609
150528, 6063343
150528, 5934281
150528, 3706537
150528, 3663881
150528, 3237008
150528, 4050336
150528, 3588933
150528, 3535496
150528, 3304977
150528, 3445444
150528, 3316174
150528, 4329188
150528, 6045270
150528, 6820161
150528, 3424455
150528, 3626276
150528, 3324664
196608, 11776583
196608, 7497083
196608, 6727140
196608, 8741709
196608, 6565578
196608, 6467454
196608, 5819594
196608, 6620995
196608, 5545482
196608, 6437454
196608, 6925471
196608, 7014846
196608, 5931156
196608, 5889229
196608, 5755167
196608, 5996415
196608, 5988290
196608, 5842458
196608, 5681261
196608, 6445475
196608, 6860159
196608, 6727608
